dataset,scale,metric,cardinality,dimensionality,index_build_time,k,algorithm,throughput,recall
random-1000000-128,1.0,euclidean,1000000,128,7.2100945,100,SieveSepCenter,187.35628,1.0
random-1000000-128,1.0,euclidean,1000000,128,7.2100945,100,RepeatedRnn,9.305511,1.0
random-1000000-128,1.0,euclidean,1000000,128,7.2100945,100,Linear,557.1855,1.0
fashion-mnist,256.0,euclidean,15360000,784,150.60301,10,GreedySieve,837.3781,1.0
fashion-mnist,256.0,euclidean,15360000,784,150.60301,10,Sieve,1058.9716,1.0
fashion-mnist,256.0,euclidean,15360000,784,150.60301,10,SieveSepCenter,887.8637,1.0
fashion-mnist,256.0,euclidean,15360000,784,150.60301,10,RepeatedRnn,18.51973,1.0
fashion-mnist,256.0,euclidean,15360000,784,150.60301,10,Linear,6.9197793,1.0
sift,2.0,euclidean,2000000,128,13.916576,10,GreedySieve,44.145996,1.0
sift,2.0,euclidean,2000000,128,13.916576,10,Sieve,98.62222,1.0
sift,2.0,euclidean,2000000,128,13.916576,10,SieveSepCenter,92.4643,1.0
sift,2.0,euclidean,2000000,128,13.916576,10,RepeatedRnn,39.057766,1.0
sift,2.0,euclidean,2000000,128,13.916576,10,Linear,265.61508,1.0
sift,32.0,euclidean,32000000,128,245.79173,100,GreedySieve,37.658684,1.0
sift,32.0,euclidean,32000000,128,245.79173,100,Sieve,8.541905,1.0
sift,32.0,euclidean,32000000,128,245.79173,100,SieveSepCenter,8.989727,1.0
sift,32.0,euclidean,32000000,128,245.79173,100,RepeatedRnn,5.592179,1.0
sift,32.0,euclidean,32000000,128,245.79173,100,Linear,13.548168,1.0
fashion-mnist,4.0,euclidean,240000,784,2.338916,10,GreedySieve,982.1171,1.0
fashion-mnist,4.0,euclidean,240000,784,2.338916,10,Sieve,707.09705,1.0
fashion-mnist,4.0,euclidean,240000,784,2.338916,10,SieveSepCenter,693.0059,1.0
fashion-mnist,4.0,euclidean,240000,784,2.338916,10,RepeatedRnn,425.9885,1.0
fashion-mnist,4.0,euclidean,240000,784,2.338916,10,Linear,484.1182,1.0
fashion-mnist,64.0,euclidean,3840000,784,35.2861,100,GreedySieve,793.9104,1.0
fashion-mnist,64.0,euclidean,3840000,784,35.2861,100,Sieve,940.2242,1.0
fashion-mnist,64.0,euclidean,3840000,784,35.2861,100,SieveSepCenter,647.6648,1.0
fashion-mnist,64.0,euclidean,3840000,784,35.2861,100,RepeatedRnn,66.208916,1.0
fashion-mnist,64.0,euclidean,3840000,784,35.2861,100,Linear,30.189255,1.0
fashion-mnist,512.0,euclidean,30720000,784,326.1219,100,GreedySieve,816.4641,1.0
fashion-mnist,512.0,euclidean,30720000,784,326.1219,100,Sieve,1015.957,1.0
fashion-mnist,512.0,euclidean,30720000,784,326.1219,100,SieveSepCenter,697.1716,1.0
fashion-mnist,512.0,euclidean,30720000,784,326.1219,100,RepeatedRnn,9.295006,1.0
fashion-mnist,512.0,euclidean,30720000,784,326.1219,100,Linear,3.3882759,1.0
random-1000000-128,16.0,euclidean,16000000,128,133.26738,10,GreedySieve,0.6650736,1.0
random-1000000-128,16.0,euclidean,16000000,128,133.26738,10,Sieve,3.2130969,1.0
random-1000000-128,16.0,euclidean,16000000,128,133.26738,10,SieveSepCenter,3.4152184,1.0
random-1000000-128,16.0,euclidean,16000000,128,133.26738,10,RepeatedRnn,0.35340926,1.0
random-1000000-128,16.0,euclidean,16000000,128,133.26738,10,Linear,26.135517,1.0
fashion-mnist,256.0,euclidean,15360000,784,150.60301,100,GreedySieve,842.4935,1.0
fashion-mnist,256.0,euclidean,15360000,784,150.60301,100,Sieve,1036.8845,1.0
fashion-mnist,256.0,euclidean,15360000,784,150.60301,100,SieveSepCenter,706.11475,1.0
fashion-mnist,256.0,euclidean,15360000,784,150.60301,100,RepeatedRnn,18.537788,1.0
fashion-mnist,256.0,euclidean,15360000,784,150.60301,100,Linear,6.7320666,1.0
glove-25,32.0,cosine,37872448,25,292.51035,100,GreedySieve,381.22495,1.0
glove-25,32.0,cosine,37872448,25,292.51035,100,Sieve,112.76763,1.0
glove-25,32.0,cosine,37872448,25,292.51035,100,SieveSepCenter,46.188915,1.0
glove-25,32.0,cosine,37872448,25,292.51035,100,RepeatedRnn,348.1972,1.0
glove-25,32.0,cosine,37872448,25,292.51035,100,Linear,15.697214,1.0
glove-25,128.0,cosine,151489792,25,1208.947,100,GreedySieve,444.09796,1.0
glove-25,128.0,cosine,151489792,25,1208.947,100,Sieve,379.9397,1.0
glove-25,128.0,cosine,151489792,25,1208.947,100,SieveSepCenter,184.3139,1.0
glove-25,128.0,cosine,151489792,25,1208.947,100,RepeatedRnn,320.596,1.0
glove-25,128.0,cosine,151489792,25,1208.947,100,Linear,3.9208477,1.0
glove-25,,cosine,1183514,25,7.636208,100,GreedySieve,285.49396,1.0
glove-25,,cosine,1183514,25,7.636208,100,Sieve,384.0243,1.0
glove-25,,cosine,1183514,25,7.636208,100,SieveSepCenter,432.23587,1.0
glove-25,,cosine,1183514,25,7.636208,100,RepeatedRnn,337.05444,1.0
glove-25,,cosine,1183514,25,7.636208,100,Linear,721.4012,1.0
fashion-mnist,128.0,euclidean,7680000,784,78.80216,10,GreedySieve,848.39136,1.0
fashion-mnist,128.0,euclidean,7680000,784,78.80216,10,Sieve,1039.607,1.0
fashion-mnist,128.0,euclidean,7680000,784,78.80216,10,SieveSepCenter,876.4436,1.0
fashion-mnist,128.0,euclidean,7680000,784,78.80216,10,RepeatedRnn,42.353764,1.0
fashion-mnist,128.0,euclidean,7680000,784,78.80216,10,Linear,14.24905,1.0
random-1000000-128,2.0,euclidean,2000000,128,15.500601,10,GreedySieve,7.386934,1.0
random-1000000-128,2.0,euclidean,2000000,128,15.500601,10,Sieve,38.790764,1.0
random-1000000-128,2.0,euclidean,2000000,128,15.500601,10,SieveSepCenter,44.285313,1.0
random-1000000-128,2.0,euclidean,2000000,128,15.500601,10,RepeatedRnn,4.114963,1.0
random-1000000-128,2.0,euclidean,2000000,128,15.500601,10,Linear,269.3141,1.0
random-1000000-128,2.0,euclidean,2000000,128,15.500601,100,GreedySieve,7.344792,1.0
random-1000000-128,2.0,euclidean,2000000,128,15.500601,100,Sieve,57.011818,1.0
random-1000000-128,2.0,euclidean,2000000,128,15.500601,100,SieveSepCenter,72.328316,1.0
random-1000000-128,2.0,euclidean,2000000,128,15.500601,100,RepeatedRnn,4.152932,1.0
random-1000000-128,2.0,euclidean,2000000,128,15.500601,100,Linear,264.74323,1.0
glove-25,2.0,cosine,2367028,25,17.347258,10,GreedySieve,474.51645,1.0
glove-25,2.0,cosine,2367028,25,17.347258,10,Sieve,451.27277,1.0
glove-25,2.0,cosine,2367028,25,17.347258,10,SieveSepCenter,389.0946,1.0
glove-25,2.0,cosine,2367028,25,17.347258,10,RepeatedRnn,574.5156,1.0
glove-25,2.0,cosine,2367028,25,17.347258,10,Linear,362.45203,1.0
fashion-mnist,16.0,euclidean,960000,784,9.074416,100,GreedySieve,791.9852,1.0
fashion-mnist,16.0,euclidean,960000,784,9.074416,100,Sieve,132.10516,1.0
fashion-mnist,16.0,euclidean,960000,784,9.074416,100,SieveSepCenter,130.91537,1.0
fashion-mnist,16.0,euclidean,960000,784,9.074416,100,RepeatedRnn,216.19067,1.0
fashion-mnist,16.0,euclidean,960000,784,9.074416,100,Linear,112.27997,1.0
glove-25,4.0,cosine,4734056,25,34.270313,100,GreedySieve,333.1268,1.0
glove-25,4.0,cosine,4734056,25,34.270313,100,Sieve,139.19986,1.0
glove-25,4.0,cosine,4734056,25,34.270313,100,SieveSepCenter,178.8603,1.0
glove-25,4.0,cosine,4734056,25,34.270313,100,RepeatedRnn,306.448,1.0
glove-25,4.0,cosine,4734056,25,34.270313,100,Linear,136.15234,1.0
sift,4.0,euclidean,4000000,128,28.638601,100,GreedySieve,37.075996,1.0
sift,4.0,euclidean,4000000,128,28.638601,100,Sieve,44.876953,1.0
sift,4.0,euclidean,4000000,128,28.638601,100,SieveSepCenter,56.0619,1.0
sift,4.0,euclidean,4000000,128,28.638601,100,RepeatedRnn,26.052837,1.0
sift,4.0,euclidean,4000000,128,28.638601,100,Linear,140.5244,1.0
sift,,euclidean,1000000,128,6.813441,100,GreedySieve,38.771908,1.0
sift,,euclidean,1000000,128,6.813441,100,Sieve,233.0326,1.0
sift,,euclidean,1000000,128,6.813441,100,SieveSepCenter,269.35898,1.0
sift,,euclidean,1000000,128,6.813441,100,RepeatedRnn,52.31092,1.0
sift,,euclidean,1000000,128,6.813441,100,Linear,534.8329,1.0
glove-25,32.0,cosine,37872448,25,292.51035,10,GreedySieve,475.2663,1.0
glove-25,32.0,cosine,37872448,25,292.51035,10,Sieve,407.1843,1.0
glove-25,32.0,cosine,37872448,25,292.51035,10,SieveSepCenter,319.55286,1.0
glove-25,32.0,cosine,37872448,25,292.51035,10,RepeatedRnn,436.08182,1.0
glove-25,32.0,cosine,37872448,25,292.51035,10,Linear,15.573601,1.0
sift,32.0,euclidean,32000000,128,245.79173,10,GreedySieve,41.935947,1.0
sift,32.0,euclidean,32000000,128,245.79173,10,Sieve,78.12399,1.0
sift,32.0,euclidean,32000000,128,245.79173,10,SieveSepCenter,55.602016,1.0
sift,32.0,euclidean,32000000,128,245.79173,10,RepeatedRnn,16.812178,1.0
sift,32.0,euclidean,32000000,128,245.79173,10,Linear,13.10618,1.0
fashion-mnist,16.0,euclidean,960000,784,9.074416,10,GreedySieve,1000.642,1.0
fashion-mnist,16.0,euclidean,960000,784,9.074416,10,Sieve,1201.4094,1.0
fashion-mnist,16.0,euclidean,960000,784,9.074416,10,SieveSepCenter,1038.9017,1.0
fashion-mnist,16.0,euclidean,960000,784,9.074416,10,RepeatedRnn,238.97362,1.0
fashion-mnist,16.0,euclidean,960000,784,9.074416,10,Linear,120.29901,1.0
sift,128.0,euclidean,128000000,128,1014.0004,100,GreedySieve,40.223953,1.0
sift,128.0,euclidean,128000000,128,1014.0004,100,Sieve,67.84038,1.0
sift,128.0,euclidean,128000000,128,1014.0004,100,SieveSepCenter,34.859417,1.0
sift,128.0,euclidean,128000000,128,1014.0004,100,RepeatedRnn,4.7087197,1.0
sift,128.0,euclidean,128000000,128,1014.0004,100,Linear,3.1626992,1.0
fashion-mnist,64.0,euclidean,3840000,784,35.2861,10,GreedySieve,878.9745,1.0
fashion-mnist,64.0,euclidean,3840000,784,35.2861,10,Sieve,1102.8494,1.0
fashion-mnist,64.0,euclidean,3840000,784,35.2861,10,SieveSepCenter,946.6947,1.0
fashion-mnist,64.0,euclidean,3840000,784,35.2861,10,RepeatedRnn,68.260025,1.0
fashion-mnist,64.0,euclidean,3840000,784,35.2861,10,Linear,30.21918,1.0
fashion-mnist,2.0,euclidean,120000,784,1.081093,100,GreedySieve,764.89966,1.0
fashion-mnist,2.0,euclidean,120000,784,1.081093,100,Sieve,1008.52856,1.0
fashion-mnist,2.0,euclidean,120000,784,1.081093,100,SieveSepCenter,994.6704,1.0
fashion-mnist,2.0,euclidean,120000,784,1.081093,100,RepeatedRnn,375.6695,1.0
fashion-mnist,2.0,euclidean,120000,784,1.081093,100,Linear,948.46674,1.0
glove-25,,cosine,1183514,25,7.636208,10,GreedySieve,450.27893,1.0
glove-25,,cosine,1183514,25,7.636208,10,Sieve,627.5534,1.0
glove-25,,cosine,1183514,25,7.636208,10,SieveSepCenter,542.02765,1.0
glove-25,,cosine,1183514,25,7.636208,10,RepeatedRnn,572.84595,1.0
glove-25,,cosine,1183514,25,7.636208,10,Linear,722.3256,1.0
random-1000000-128,32.0,euclidean,32000000,128,275.37323,10,GreedySieve,0.29459742,1.0
random-1000000-128,32.0,euclidean,32000000,128,275.37323,10,Sieve,1.5824194,1.0
random-1000000-128,32.0,euclidean,32000000,128,275.37323,10,SieveSepCenter,1.6377146,1.0
random-1000000-128,32.0,euclidean,32000000,128,275.37323,10,RepeatedRnn,0.1623181,1.0
random-1000000-128,32.0,euclidean,32000000,128,275.37323,10,Linear,13.534071,1.0
random-1000000-128,16.0,euclidean,16000000,128,133.26738,100,GreedySieve,0.668425,1.0
random-1000000-128,16.0,euclidean,16000000,128,133.26738,100,Sieve,4.885388,1.0
random-1000000-128,16.0,euclidean,16000000,128,133.26738,100,SieveSepCenter,5.451406,1.0
random-1000000-128,16.0,euclidean,16000000,128,133.26738,100,RepeatedRnn,0.35967076,1.0
random-1000000-128,16.0,euclidean,16000000,128,133.26738,100,Linear,27.709833,1.0
