dataset,metric,cardinality,build_time,num_queries,kind,val,algorithm,throughput,linear_throughput
silva-SSU-Ref,levenshtein,2224640,255655.97,100,rnn,18000,Clustered,0.030584957,-1.0
silva-SSU-Ref,levenshtein,50000,4062.7764,100,knn,100,GreedySieve,0.15733393,-1.0
silva-SSU-Ref,levenshtein,5000,361.46384,100,rnn,45000,Clustered,2.102072,0.6337631
silva-SSU-Ref,levenshtein,50000,4062.7764,100,rnn,18000,Clustered,0.45731074,-1.0
silva-SSU-Ref,levenshtein,2224640,255655.97,100,knn,100,GreedySieve,0.030208081,-1.0
silva-SSU-Ref,levenshtein,2000,147.08649,100,knn,10,GreedySieve,1.5193294,1.578522
silva-SSU-Ref,levenshtein,5000,361.46384,100,knn,100,GreedySieve,0.7275239,0.6326481
silva-SSU-Ref,levenshtein,2000,147.08649,100,knn,100,Sieve,7.0293474,1.578522
silva-SSU-Ref,levenshtein,50000,4062.7764,100,rnn,45000,Clustered,0.44723016,-1.0
silva-SSU-Ref,levenshtein,50000,4062.7764,100,rnn,4500,Clustered,0.42453545,-1.0
silva-SSU-Ref,levenshtein,2224640,255655.97,100,knn,10,Sieve,0.033344995,-1.0
silva-SSU-Ref,levenshtein,10000,728.0397,100,knn,10,SieveSepCenter,0.4716324,-1.0
silva-SSU-Ref,levenshtein,2224640,255655.97,100,knn,10,SieveSepCenter,0.025033597,-1.0
silva-SSU-Ref,levenshtein,100000,8888.481,100,knn,10,RepeatedRnn,0.18099612,-1.0
silva-SSU-Ref,levenshtein,5000,361.46384,100,knn,10,RepeatedRnn,0.8366045,0.6326481
silva-SSU-Ref,levenshtein,250000,24400.256,100,knn,10,GreedySieve,0.077987924,-1.0
silva-SSU-Ref,levenshtein,2224640,255655.97,100,knn,10,GreedySieve,0.0899209,-1.0
silva-SSU-Ref,levenshtein,1000,65.0004,100,rnn,4500,Clustered,7.4996805,3.1193488
silva-SSU-Ref,levenshtein,100000,8888.481,100,knn,100,GreedySieve,0.085784875,-1.0
silva-SSU-Ref,levenshtein,2224640,255655.97,100,knn,100,SieveSepCenter,0.009422544,-1.0
silva-SSU-Ref,levenshtein,10000,728.0397,100,knn,100,RepeatedRnn,0.38566735,-1.0
silva-SSU-Ref,levenshtein,1000,65.0004,100,rnn,18000,Clustered,7.516381,3.1193488
silva-SSU-Ref,levenshtein,100000,8888.481,100,knn,10,SieveSepCenter,0.091091536,-1.0
silva-SSU-Ref,levenshtein,1000,65.0004,100,rnn,45000,Clustered,7.186621,3.1193488
silva-SSU-Ref,levenshtein,5000,361.46384,100,knn,10,Sieve,5.0541663,0.6326481
silva-SSU-Ref,levenshtein,2000,147.08649,100,knn,100,RepeatedRnn,1.3137269,1.578522
silva-SSU-Ref,levenshtein,100000,8888.481,100,knn,10,GreedySieve,0.14606842,-1.0
silva-SSU-Ref,levenshtein,10000,728.0397,100,rnn,4500,Clustered,1.1306508,-1.0
silva-SSU-Ref,levenshtein,10000,728.0397,100,knn,100,SieveSepCenter,0.38444838,-1.0
silva-SSU-Ref,levenshtein,1000,65.0004,100,knn,100,GreedySieve,2.2600737,3.1229072
silva-SSU-Ref,levenshtein,100000,8888.481,100,rnn,18000,Clustered,0.27621463,-1.0
silva-SSU-Ref,levenshtein,100000,8888.481,100,rnn,45000,Clustered,0.28260595,-1.0
silva-SSU-Ref,levenshtein,1000,65.0004,100,knn,10,SieveSepCenter,2.712331,3.1229072
silva-SSU-Ref,levenshtein,2000,147.08649,100,knn,10,RepeatedRnn,1.2449048,1.578522
